0.03,10,1e-07,opt,0.00014433404430747032,0.012013910338282585
0.003,10,5e-07,unopt,8.08764380053617e-05,0.008993132971227169
0.003,10,5e-07,opt,8.440516830887645e-05,0.009187228977680206
0.001,10,5e-07,unopt,4.518340574577451e-05,0.006721860263496637
0.001,10,5e-07,opt,4.765714766108431e-05,0.00690341554582119
0.03,10,5e-07,unopt,0.00013119408686179668,0.011453998275101185
0.03,10,5e-07,opt,0.0001322910829912871,0.011501786299049854
0.003,10,1e-08,unopt,9.140626934822649e-05,0.00956066232174635
0.003,10,1e-08,opt,9.501015301793814e-05,0.00974731519818306
0.001,10,1e-08,unopt,5.3461597417481244e-05,0.007311743684113026
0.001,10,1e-08,opt,5.6713026424404234e-05,0.007530805189162493
0.03,10,1e-08,unopt,0.00012776341463904828,0.011303247883915901
0.03,10,1e-08,opt,0.00013041208148933947,0.0114198112860322
0.003,10,5e-08,unopt,8.502905257046223e-05,0.009221119806170464
0.003,10,5e-08,opt,8.866153075359762e-05,0.009416025131940842
0.001,10,5e-08,unopt,5.311512722983025e-05,0.007288012653589249
0.001,10,5e-08,opt,5.6258810218423605e-05,0.007500587496906519
0.03,10,5e-08,unopt,0.00015450367936864495,0.012429950758814812
0.03,10,5e-08,opt,0.00015576952137053013,0.012480766512453556
0.003,20,1e-06,unopt,9.87551175057888e-05,0.009937561117112637
0.003,20,1e-06,opt,0.00010186995496042073,0.010093064978718758
0.001,20,1e-06,unopt,7.575279596494511e-05,0.008703608065843582
0.001,20,1e-06,opt,7.923760131234303e-05,0.008901550434529781
0.03,20,1e-06,unopt,0.00012097596481908113,0.010998907499015331
0.03,20,1e-06,opt,0.00012202223297208548,0.011046367697417736
0.003,20,5e-06,unopt,6.141816993476823e-05,0.00783697422593832
0.003,20,5e-06,opt,6.460964505095035e-05,0.008038012310862541
0.001,20,5e-06,unopt,5.6821867474354804e-05,0.007538028061389923
0.001,20,5e-06,opt,5.996530671836808e-05,0.007743726950138807
0.03,20,5e-06,unopt,3.862604353344068e-05,0.006214985623955727
0.03,20,5e-06,opt,3.997451130999252e-05,0.0063225398771464825
0.003,20,1e-07,unopt,0.00010745292092906311,0.01036594994366169
0.003,20,1e-07,opt,0.00011076350347138941,0.01052442379295826
0.001,20,1e-07,unopt,8.787395199760795e-05,0.009374110959470272
0.001,20,1e-07,opt,9.163020877167583e-05,0.009572367183864117
0.03,20,1e-07,unopt,0.00014084455324336886,0.011867795139551163
0.03,20,1e-07,opt,0.00014221652236301452,0.011925457045435905
0.003,20,5e-07,unopt,0.00010284203744959086,0.010141106322407722
0.003,20,5e-07,opt,0.00010612168989609927,0.010301537811756134
0.001,20,5e-07,unopt,8.245666685979813e-05,0.00908056553453207
0.001,20,5e-07,opt,8.596004045102745e-05,0.009271463379263878
0.03,20,5e-07,unopt,0.00012529057858046144,0.011193327605724335
0.03,20,5e-07,opt,0.00012715412594843656,0.011276263743638992
0.003,20,1e-08,unopt,0.00012358001549728215,0.011116654612123966
0.003,20,1e-08,opt,0.00012624580995179713,0.011235916055738926
0.001,20,1e-08,unopt,9.057488932739943e-05,0.009517083875834942
